73,73
143,70
213,70
282,69
338,56
408,70
460,52
528,68
556,28
631,75
678,47
748,70
820,72
890,70
960,70
1029,69
1099,70
1174,75
1215,41
1263,48
1287,24
1356,69
1424,68
1451,27
1521,70
1589,68
1639,50
1676,37
1745,69
1791,46
1860,69
1930,70
1998,68
2067,69
2136,69
2173,37
2204,31
2275,71
2344,69
2404,60
2456,52
2525,69
2594,69
2616,22
2686,70
2716,30
2748,32
2816,68
2858,42
2902,44
2972,70
3045,73
3112,67
3180,68
3216,36
3251,35
3291,40
3361,70
3430,69
3473,43
3552,79
3598,46
3643,45
3666,23
3720,54
3771,51
3839,68
3878,39
3924,46
3951,27
4019,68
4067,48
4108,41
4176,68
4217,41
4285,68
4328,43
4397,69
4465,68
4531,66
4566,35
4614,48
4664,50
4734,70
4775,41
4813,38
4884,71
4926,42
4999,73
5068,69
5137,69
5170,33
5251,81
5297,46
5324,27
5393,69
5422,29
5477,55
5508,31
5582,74
5651,69
5703,52
5773,70
5823,50
5892,69
5961,69
6029,68
6098,69
6149,51
6220,71
6263,43
6331,68
6359,28
6396,37
6431,35
6502,71
6545,43
6616,71
6655,39
6694,39
6721,27
6763,42
6813,50
6842,29
6911,69
6979,68
7012,33
7047,35
7074,27
7101,27
7133,32
7168,35
7215,47
7284,69
7332,48
7364,32
7400,36
7470,70
7518,48
7590,72
7629,39
7666,37
7739,73
7807,68
7842,35
7872,30
7896,24
7955,59
8017,62
8085,68
8141,56
8181,40
8251,70
8327,76
8366,39
8400,34
8468,68
8498,30
8567,69
8630,63
8699,69
8745,46
8805,60
8843,38
8913,70
8953,40
9029,76
9099,70
9139,40
9208,69
9278,70
9347,69
9374,27
9442,68
9471,29
9541,70
9613,72
9677,64
9717,40
9785,68
9858,73
9899,41
9980,81
10049,69
10118,69
10187,69
10215,28
10252,37
10299,47
10368,69
10396,28
10426,30
10494,68
10564,70
10634,70
10678,44
10728,50
10773,45
10841,68
10909,68
10984,75
11018,34
11081,63
11130,49
11199,69
11270,71
11340,70
11412,72
11481,69
11521,40
11591,70
11633,42
11661,28
11730,69
11799,69
11867,68
11937,70
12017,80
12088,71
12150,62
12189,39
12259,70
12329,70
12398,69
12466,68
12535,69
12576,41
12644,68
12679,35
12731,52
12767,36
12800,33
12839,39
12883,44
12914,31
12986,72
13020,34
13057,37
13128,71
13161,33
13187,26
13224,37
13247,23
13284,37
13352,68
13421,69
13489,68
13521,32
13593,72
13703,110
13772,69
13802,30
13873,71
13927,54
13966,39
14035,69
14084,49
14153,69
14189,36
14289,100
14323,34
14353,30
14430,77
14499,69
14568,69
14637,69
14698,61
14733,35
14801,68
14904,103
14951,47
15019,68
15055,36
15096,41
15166,70
15269,103
15341,72
15377,36
15454,77
15524,70
15577,53
15625,48
15654,29
15688,34
15739,51
15810,71
15849,39
15921,72
15974,53
16028,54
16061,33
16118,57
16146,28
16186,40
16241,55
16266,25
16335,69
16409,74
16515,106
16588,73
16633,45
16669,36
16739,70
16811,72
16848,37
16882,34
16991,109
17064,73
17097,33
17167,70
17237,70
17309,72
17381,72
17427,46
17495,68
17564,69
17637,73
17668,31
17700,32
17736,36
17787,51
17859,72
17929,70
17983,54
18051,68
18115,64
18183,68
18252,69
18302,50
18406,104
18475,69
18543,68
18575,32
18644,69
18681,37
18788,107
18865,77
18895,30
18964,69
19037,73
19126,89
19195,69
19264,69
19332,68
19400,68
19471,71
19547,76
19615,68
19684,69
19752,68
19821,69
19854,33
19922,68
19996,74
20066,70
20113,47
20182,69
20255,73
20283,28
20352,69
20421,69
20489,68
20558,69
20626,68
20697,71
20770,73
20812,42
20859,47
20927,68
20995,68
21064,69
21133,69
21202,69
21272,70
21341,69
21410,69
21479,69
21509,30
21578,69
21652,74
21691,39
21728,37
21798,70
21870,72
21940,70
22010,70
22081,71
22127,46
22195,68
22227,32
22299,72
22343,44
22412,69
22481,69
22551,70
22620,69
22689,69
22739,50
22809,70
22863,54
22893,30
22963,70
23032,69
23072,40
23141,69
23192,51
23262,70
23302,40
23345,43
23414,69
23483,69
23514,31
23583,69
23689,106
23797,108
23866,69
23935,69
24007,72
24075,68
24145,70
24230,85
24302,72
24374,72
24444,70
24498,54
24569,71
24702,133
24743,41
24814,71
24866,52
24940,74
25010,70
25080,70
25148,68
25220,72
25250,30
25321,71
25389,68
25458,69
25526,68
25563,37
25633,70
25687,54
25756,69
25825,69
25879,54
25944,65
26014,70
26062,48
26137,75
26205,68
26258,53
26374,116
26401,27
26454,53
26522,68
26592,70
26662,70
26693,31
26761,68
26804,43
26872,68
26944,72
27014,70
27089,75
27159,70
27228,69
27274,46
27346,72
27415,69
27485,70
27554,69
27625,71
27702,77
27771,69
27810,39
27887,77
27960,73
28021,61
28091,70
28138,47
28210,72
28280,70
28310,30
28355,45
28424,69
28538,114
28614,76
28684,70
28754,70
28823,69
28856,33
28895,39
28964,69
28991,27
29060,69
29138,78
29207,69
29239,32
29311,72
29379,68
29456,77
29536,80
29604,68
29672,68
29778,106
29847,69
29916,69
29963,47
30032,69
30102,70
30172,70
30220,48
30263,43
30345,82
30383,38
30435,52
30491,56
30563,72
30633,70
30736,103
30810,74
30882,72
30950,68
31018,68
31093,75
31146,53
31176,30
31247,71
31319,72
31365,46
31435,70
31504,69
31545,41
31614,69
31685,71
31754,69
31825,71
31894,69
31967,73
32038,71
32108,70
32183,75
32252,69
32320,68
32389,69
32460,71
32531,71
